term,int_rate,installment,dti,home_ownership,purpose,verification_status,loan_status,term_num,int_rate_num,risk_flag
 60 months,0.1527,59.83,0.01,RENT,car,Source Verified,Charged Off,60.0,0.1527,1
 36 months,0.1864,109.43,0.0535,RENT,car,Source Verified,Fully Paid,36.0,0.1864,0
 36 months,0.1596,421.65,0.2088,RENT,car,Not Verified,Charged Off,36.0,0.1596,1
 60 months,0.1065,97.06,0.054,MORTGAGE,car,Source Verified,Fully Paid,60.0,0.1065,0
 36 months,0.0603,106.53,0.0231,MORTGAGE,car,Verified,Fully Paid,36.0,0.0603,0
 36 months,0.1465,275.96,0.126,RENT,car,Not Verified,Fully Paid,36.0,0.1465,0
 36 months,0.1427,205.86,0.2453,MORTGAGE,car,Verified,Fully Paid,36.0,0.1427,0
 36 months,0.079,172.1,0.0665,OWN,car,Source Verified,Fully Paid,36.0,0.079,0
 36 months,0.089,762.08,0.0394,MORTGAGE,car,Verified,Charged Off,36.0,0.089,1
 60 months,0.1269,93.21,0.1773,MORTGAGE,car,Not Verified,Fully Paid,60.0,0.1269,0
 36 months,0.1269,181.15,0.088,MORTGAGE,car,Not Verified,Fully Paid,36.0,0.1269,0
 36 months,0.1242,374.26,0.2288,RENT,car,Not Verified,Charged Off,36.0,0.1242,1
 36 months,0.1171,165.38,0.0401,RENT,car,Not Verified,Fully Paid,36.0,0.1171,0
 36 months,0.1269,268.36,0.1533,RENT,car,Not Verified,Fully Paid,36.0,0.1269,0
 36 months,0.1242,200.5,0.106,RENT,car,Not Verified,Fully Paid,36.0,0.1242,0
 36 months,0.1242,400.99,0.063,RENT,car,Source Verified,Charged Off,36.0,0.1242,1
 36 months,0.0991,98.29,0.035,RENT,car,Verified,Fully Paid,36.0,0.0991,0
 36 months,0.1427,343.09,0.1869,RENT,car,Source Verified,Fully Paid,36.0,0.1427,0
 36 months,0.1065,162.87,0.1392,MORTGAGE,car,Verified,Fully Paid,36.0,0.1065,0
 36 months,0.1629,176.51,0.0957,OWN,car,Not Verified,Fully Paid,36.0,0.1629,0
 36 months,0.0743,155.38,0.0255,RENT,car,Not Verified,Fully Paid,36.0,0.0743,0
 36 months,0.0743,69.14,0.0767,MORTGAGE,car,Not Verified,Charged Off,36.0,0.0743,1
 36 months,0.1114,131.22,0.1108,MORTGAGE,car,Not Verified,Charged Off,36.0,0.1114,1
 36 months,0.1109,262.26,0.0512,OWN,car,Not Verified,Charged Off,36.0,0.1109,1
 36 months,0.0766,77.95,0.0795,MORTGAGE,car,Not Verified,Charged Off,36.0,0.0766,1
 36 months,0.0751,124.45,0.0648,MORTGAGE,car,Not Verified,Charged Off,36.0,0.0751,1
 36 months,0.0963,385.14,0.15,MORTGAGE,car,Not Verified,Charged Off,36.0,0.0963,1
 36 months,0.0894,222.41,0.152,MORTGAGE,car,Not Verified,Charged Off,36.0,0.0894,1
 36 months,0.0766,280.62,0.0385,MORTGAGE,car,Not Verified,Charged Off,36.0,0.0766,1
 36 months,0.089,152.42,0.0785,MORTGAGE,car,Not Verified,Charged Off,36.0,0.089,1
 36 months,0.1148,164.85,0.0992,MORTGAGE,car,Not Verified,Charged Off,36.0,0.1148,1
 36 months,0.1149,197.83,0.2357,MORTGAGE,car,Not Verified,Charged Off,36.0,0.1149,1
 36 months,0.1465,217.32,0.0366,MORTGAGE,car,Not Verified,Charged Off,36.0,0.1465,1
 36 months,0.157,210.07,0.1486,MORTGAGE,car,Not Verified,Charged Off,36.0,0.157,1
